ID;Vraag;Volwassenheidsniveau 1;Volwassenheidsniveau 2;Volwassenheidsniveau 3;Volwassenheidsniveau 4;Volwassenheidsniveau 5
GO.01;Er is een strategie en visie voor informatiebeveiliging die alles stuurt.;We doen beveiligingsacties zonder plan, zomaar wanneer het nodig lijkt.;Er is een strategie en visie voor beveiliging, maar die zijn niet officieel vastgesteld.;De strategie en visie voor beveiliging zijn door het schoolbestuur goedgekeurd. We vertellen ze aan medewerkers, leveranciers en partners.;De strategie en visie sturen alle beveiligingsacties. We leggen vast hoe we ze volgen. We controleren regelmatig of ze nog kloppen en werken.;De strategie helpt onze doelen te halen. We passen hem aan bij veranderingen buitenaf of nieuwe organisatiedoelen.
GO.02;Er is een informatiebeveiligingsbeleid dat iedereen kent en dat we regelmatig checken.;Er is geen beleid, alleen wat ideeën op papier.;Er is een beleid met de belangrijkste punten over beveiliging.;Het schoolbestuur heeft het beveiligingsbeleid goedgekeurd. We delen het met medewerkers, leveranciers en partners. Het staat online of op papier. Het zit in ons bewustwordingsprogramma. We kijken of het werkt.;Het beleid zit diep in de organisatie en is uitgewerkt in procedures en instructies. We checken het regelmatig, maken het beter en laten het weer goedkeuren.;We rapporteren aan het schoolbestuur of we het beleid goed volgen.
GO.03;Doelen, risico’s en wetten voor beveiliging staan in een plan met een planning.;Er is geen beveiligingsplan. Er zijn wat losse it-beveiligingsprojecten.;Er is een beveiligingsplan dat alle belangrijke doelen, risico’s en wetten dekt.;Het schoolbestuur heeft het beveiligingsplan goedgekeurd. Het staat in het beleid en procedures, met genoeg geld voor diensten, mensen en spullen. We delen het met gebruikers en anderen.;Het plan is ingevoerd met beleid, procedures en spullen. We checken het regelmatig en maken het beter, met goedkeuring van het schoolbestuur.;We volgen het plan en de projecten steeds, kijken naar voortgang en bedreigingen, en rapporteren aan het schoolbestuur.
GO.04;Er is een model (EIAM) om applicaties te maken en besluiten te ondersteunen volgens onze it-plannen.;Er is geen EIAM.;We hebben een basis (IST) voor hoe het nu is. Er zijn processen om systemen te maken.;We hebben een basis (IST) en een doel (SOLL) voor hoe het moet worden. De SOLL past bij onze doelen en wetten. Het EIAM en processen helpen bij applicaties en besluiten. Het schoolbestuur keurt het goed.;Het model helpt veilig informatie maken, gebruiken en delen, ook voor nieuwe ideeën. De SOLL richt zich op onze prioriteiten. We checken het EIAM regelmatig.;Het EIAM maakt informatie maken, gebruiken en delen makkelijk, veilig en goedkoop. Het blijft flexibel en werkt goed.
GO.05;We laten onafhankelijk (intern of extern) checken of onze it aan wetten, beleid en normen voldoet.;Er is geen onafhankelijke check.;We hebben een interne audit die kijkt naar wetten, beleid en normen.;We laten onafhankelijk checken of onze it aan wetten, beleid en normen voldoet. Dat staat in een auditplan, goedgekeurd door het schoolbestuur. We rapporteren de resultaten en gebruiken checklists.;De auditcommissie checkt regelmatig hoe de controles gaan. Een externe partij kijkt naar hoe we het doen.;De onafhankelijke check kijkt ook of onze it efficiënt werkt.
OR.01;Informatiebeveiliging en risicobeheer helpen onze doelen te halen. Rollen en verantwoordelijkheden zijn vastgelegd.;Rollen en verantwoordelijkheden zijn niet vastgelegd. Sommige rollen doen we informeel.;Belangrijke rollen voor risicobeheer zijn benoemd, met verantwoordelijkheid voor beveiliging en wetten.;Alle rollen voor risicobeheer zijn vastgelegd. Het schoolbestuur is verantwoordelijk voor de hele organisatie. Er is een verklaring dat de leiding beveiliging steunt. De structuur staat op papier.;Rollen en verantwoordelijkheden zitten goed in de organisatie. We wijzen ze ook per systeem toe. We checken ze regelmatig.;Het schoolbestuur beslist officieel over welke risico’s we nemen.
OR.02;Rollen zijn gescheiden zodat niemand alleen belangrijke processen kan verstoren.;Er is bijna geen scheiding van rollen.;Rollen zijn gescheiden, maar niet officieel vastgelegd.;Rollen zijn gescheiden en vastgelegd door het schoolbestuur. Dit voorkomt dat iemand alleen processen kan schaden. Medewerkers doen alleen wat bij hun rol past.;We hebben een matrix die laat zien waar rollen botsen. We checken die regelmatig, vooral na grote veranderingen.;We controleren met data of de scheiding werkt en zoeken naar verbeteringen.
RM.01;Risicobeheer zit in het beveiligingsbeleid.;Risico’s worden zomaar bepaald, zonder plan.;Er is een beleid en proces voor risicobeheer, maar alleen voor grote projecten of problemen.;Er is een organisatiebreed beleid voor risicobeheer, goedgekeurd door het schoolbestuur. Het legt uit hoe we risico’s vinden, aanpakken en accepteren. Het past bij onze doelen. We trainen medewerkers hierin.;We checken regelmatig of ons risicobeheer werkt. We rapporteren aan het schoolbestuur zodat zij keuzes kunnen maken.;Risicobeheer zit in alles wat we doen. We verbeteren het steeds en betrekken medewerkers en leveranciers.
RM.02;We doen risicochecks om te weten welke risico’s onze doelen bedreigen.;Risicochecks doen we bijna nooit, alleen als iemand het bedenkt.;We doen risicochecks bij projecten, maar niet altijd passend bij onze doelen. We schrijven ze kort op.;We doen risicochecks altijd op een vaste manier. Ze passen bij wat we nodig hebben en vinden grote risico’s. We beoordelen ze goed en melden afwijkingen aan het schoolbestuur.;We kijken hoe risico’s samenhangen en zetten ze in een overzicht. We checken onze manier van werken regelmatig.;We gebruiken tools en dashboards om risico’s te volgen.
RM.03;We plannen maatregelen om risico’s aan te pakken, met kosten en verantwoordelijkheden.;Er is geen plan voor risico’s. Maatregelen doen we zomaar.;Er zijn plannen voor risico’s, maar niet officieel. Maatregelen zijn niet volledig en eigenaarschap is onduidelijk.;We hebben een proces om risico’s en maatregelen vast te leggen in een register. Het schoolbestuur keurt het goed. We volgen de voortgang en melden afwijkingen.;We kijken opnieuw naar prioriteiten en kosten van maatregelen. We checken regularly of het werkt.;We gebruiken systemen om risico’s te volgen en te rapporteren. Het schoolbestuur evalueert onze aanpak steeds.
