ID;Vraag;Volwassenheidsniveau 1;Volwassenheidsniveau 2;Volwassenheidsniveau 3;Volwassenheidsniveau 4;Volwassenheidsniveau 5
BL.01;Er is een privacybeleid voor de hele organisatie.;Er is nog geen privacybeleid, of het is alleen een idee.;Er is een privacybeleid, maar het is niet af, verouderd, niet officieel vastgesteld of maar bij een paar mensen bekend.;Het privacybeleid is up-to-date en legt uit hoe we omgaan met privacyregels uit artikel 5, lid 1 van de AVG. Het beschrijft plichten zoals een duidelijk doel, eerlijk werken, zo min mogelijk gegevens gebruiken, kloppende gegevens, niet te lang bewaren, en ze veilig en vertrouwelijk houden. Het schoolbestuur heeft het officieel goedgekeurd. Iedereen kent het, kan het makkelijk vinden en begrijpen. Het houdt rekening met speciale regels voor onze sector, als die er zijn. Veranderingen worden doorgegeven.;We kijken elke 3 jaar of het privacybeleid nog goed is en passen het aan als nodig. Het schoolbestuur krijgt een rapport hierover. We controleren of het beleid past bij andere beleidsstukken en bij nieuwe wetten of doelen van de organisatie.;Het privacybeleid kijkt vooruit naar veranderende wetten en doelen. We praten met andere organisaties om te leren van hun kennis en ervaringen.
BL.02;Rollen, taken en verantwoordelijkheden voor privacy zijn benoemd en vastgelegd in het privacybeleid.;Wie wat doet voor privacy is niet duidelijk of vastgelegd.;Rollen en taken voor privacy zijn een beetje verdeeld, maar niet officieel. Het hangt vaak af van een paar mensen of de centrale privacyorganisatie.;Rollen en taken voor privacy zijn officieel vastgelegd in het privacybeleid en iedereen kent ze. Het schoolbestuur is eindverantwoordelijk. Managers zorgen voor privacy in hun eigen werk. We hebben vastgelegd wie keuzes mag maken over privacyrisico’s, zoals het doen van een DPIA, het nemen van maatregelen of het accepteren van risico’s.;Het management laat zien dat het zijn privacy-taken serieus neemt. We controleren regelmatig of de rollen en taken nog goed en nuttig zijn, en verbeteren ze als dat nodig is.;We kijken steeds of de rollen en taken nog passen bij nieuwe ontwikkelingen en wetten. Ze staan in de functieprofielen, zodat iedereen ze als normaal onderdeel van het werk ziet. We leren van ervaringen om privacy steeds beter te doen.
BL.03;De organisatie weet welke risico’s er zijn bij het verwerken van persoonsgegevens en pakt die goed aan.;Er is geen vast proces om risico’s bij het verwerken van persoonsgegevens te vinden en aan te pakken. We weten weinig over die risico’s.;We hebben een informeel proces om grote risico’s bij het verwerken van persoonsgegevens te vinden en aan te pakken.;Het schoolbestuur heeft een officieel proces om risico’s bij het verwerken van persoonsgegevens te vinden en aan te pakken, niet alleen de grote. We leggen vast wie de maatregelen moet uitvoeren. Er is een plan om risico’s te verkleinen. Alle grote risico’s worden geregistreerd. Het management beslist over risico’s die we accepteren.;Alle risico’s, ook de kleine, worden volledig geregistreerd en goed aangepakt. We controleren regelmatig of ons proces en onze maatregelen werken, en passen ze aan als dat nodig is.;We houden continu in de gaten hoe risico’s veranderen, binnen en buiten de organisatie. Het management checkt steeds of ons risicobeheer werkt en maakt het beter waar nodig.
PR.01;De organisatie weet welke processen persoonsgegevens verwerken en heeft die beschreven.;We hebben geen vaste manier om processen met persoonsgegevens te vinden en vast te leggen. We weten weinig over die processen, vooral over de risicovolle.;We hebben een beetje een vaste manier om processen met persoonsgegevens te vinden en vast te leggen, maar niet overal in de organisatie. Sommige processen hebben een titel en een verantwoordelijke, maar er is geen overzicht.;We hebben overal een vaste manier om processen met persoonsgegevens te vinden en vast te leggen. We weten van alle processen af. Minstens de risicovolle processen zijn beschreven. Verantwoordelijken checken ze regelmatig en passen ze aan als nodig.;Alle processen met persoonsgegevens zijn vastgelegd en beschreven, niet alleen de risicovolle. We controleren regelmatig of ze nog kloppen met de praktijk en verbeteren ze. Verantwoordelijken melden proactief als er iets verandert.;Het management vindt het belangrijk dat processen up-to-date zijn en stuurt daar actief op. We kijken vooruit naar veranderingen en passen processen daarop aan. Als iets niet aan het privacybeleid voldoet, lossen we dat op.
PR.02;De organisatie heeft een verwerkingsregister dat aan de wet voldoet.;Er is geen verwerkingsregister of we houden niets bij.;Er is een verwerkingsregister, maar het is niet compleet. Niet alles wat de wet vraagt staat erin. Voor sommige verwerkingen is niet duidelijk wie verantwoordelijk is.;Het verwerkingsregister heeft alles wat de wet vraagt (artikel 30 AVG). Voor elke verwerking is duidelijk wie verantwoordelijk is. Minstens de risicovolle verwerkingen zijn vastgelegd en getoetst aan de privacyregels uit artikel 5, lid 1 AVG.;Alle verwerkingen staan in het register. Als de Autoriteit Persoonsgegevens het vraagt, kunnen we het makkelijk laten zien.;Het verwerkingsregister helpt bij risicobeheer en keuzes maken. Het is meer dan een lijst: het versterkt onze privacycultuur. Het verwijst naar DPIA’s, overeenkomsten met verwerkers en processen waarin persoonsgegevens zitten.
PR.03;De organisatie houdt het verwerkingsregister steeds actueel.;Er is geen duidelijke manier om nieuwe of veranderde verwerkingen in het register te zetten.;Er is een informele manier om verwerkingen in het register bij te houden, maar die gebruiken we niet altijd. Het register is niet up-to-date omdat veranderingen niet op tijd worden opgenomen.;We hebben een vaste manier om nieuwe en veranderde verwerkingen in het register te zetten. Bij veranderingen checken we of ze nog aan de privacyregels voldoen (artikel 5, lid 1 AVG). We hebben afgesproken hoe vaak we het register controleren en wie dat doet. Nieuwe verwerkingen komen er meteen in.;Het bijhouden van het register zit in al onze processen, waar dat nodig is. Nieuwe verwerkingen worden meteen toegevoegd.;We gebruiken een tool om het register bij te houden en te controleren.
PR.04;De organisatie checkt systematisch of verwerkingen een groot risico kunnen zijn voor betrokkenen.;Er is geen manier om te checken of verwerkingen een groot risico hebben voor de privacy van betrokkenen.;Er is een informele manier om bij nieuwe en veranderde verwerkingen te checken op grote risico’s, maar we doen dat niet altijd. Niet alles wordt beoordeeld en dat staat ook niet vast.;We hebben een vaste manier om bij alle nieuwe en veranderde verwerkingen te checken of ze een groot risico kunnen zijn voor betrokkenen. Dat doen we altijd. Alles is beoordeeld en grote risico’s staan in het register. We schrijven op waarom we iets een groot risico vinden.;We vinden en beheren proactief verwerkingen met grote risico’s. We checken regelmatig of onze manier van werken nog goed is en maken die beter als nodig. Onze keuzes over risico’s zijn makkelijk te vinden.;Het checken op grote risico’s zit in al onze processen. We beoordelen alles steeds op risico’s en leggen dat goed vast in het register. Onze keuzes zijn volledig, transparant en helpen ons echt.
PR.05;Als een verwerking een groot risico heeft, doen we een DPIA die aan de AVG voldoet en beheren we de uitkomsten goed.;Er is geen vaste manier om DPIA’s te doen bij risicovolle verwerkingen. De FG wordt niet gevraagd om advies.;Er is een manier om DPIA’s te doen, maar die gebruiken we niet altijd overal. DPIA-rapporten worden gemaakt, maar voldoen niet altijd aan de wet. Niet alle risicovolle verwerkingen krijgen een DPIA. De FG helpt, maar keuzes over zijn advies zijn niet altijd duidelijk.;We hebben een vaste manier om DPIA’s te doen bij alle nieuwe en sterk veranderde risicovolle verwerkingen. We hebben een plan om risico’s uit de DPIA aan te pakken of te accepteren. Rapporten volgen een vast format dat aan de wet voldoet. Alle risicovolle verwerkingen krijgen een DPIA. We hebben een standaardmanier om afwijkingen van het FG-advies vast te leggen en volgen die altijd.;DPIA’s en het aanpakken van risico’s passen in ons risicobeheer. We checken DPIA’s minstens elke 3 jaar opnieuw. We hebben vastgelegd wie mag afwijken van het FG-advies, en dat volgen we op. Als een risico niet wordt aangepakt, leggen we dat uit. We hebben een overzicht van alle DPIA’s en checken regelmatig of onze manier van werken goed is.;Het schoolbestuur doet actief mee aan het DPIA-proces, vooral bij afwijkingen van het FG-advies. We leren van andere organisaties over DPIA’s en maatregelen. We maken het proces efficiënter met tools. Bij projecten nemen we DPIA’s en openstaande acties mee.
PR.06;Bij het maken, kiezen en gebruiken van toepassingen, diensten en producten denken we zo vroeg mogelijk aan privacy en risico’s.;Bij het maken, kiezen en gebruiken van toepassingen denken we nauwelijks aan privacyregels. We stellen weinig eisen aan externe partijen.;Bij het maken en gebruiken van toepassingen denken we een beetje aan privacy, maar niet overal hetzelfde. Soms vragen we externe partijen naar hun privacy-aanpak, maar niet altijd.;We hebben vaste eisen voor privacy bij het maken, kiezen en gebruiken van toepassingen. Voor we iets kopen of maken, checken we de privacyrisico’s en nemen we maatregelen om aan de privacyregels te voldoen (artikel 5, lid 1 AVG). Met externe partijen maken we duidelijke afspraken over privacy. Toepassingen met grote risico’s zijn standaard privacyvriendelijk ingesteld. We hebben richtlijnen die dat regelen.;Privacy zit standaard in alle toepassingen. We hebben het zo ingericht dat risico’s kleiner worden. Dat doen we overal in de organisatie. We stellen strenge eisen aan externe partijen en controleren die regelmatig. Alle toepassingen verwerken alleen de nodige gegevens. We checken steeds of dat zo blijft en verbeteren waar nodig.;We passen onze processen aan bij nieuwe risico’s, zoals na een datalek of wetswijziging. Privacyregels zitten altijd in onze keuzes. Eisen aan externe partijen staan in contracten. We zorgen dat alles zo min mogelijk gegevens verwerkt en kijken vooruit naar veranderingen op privacygebied.
PR.07;Persoonsgegevens worden op tijd verwijderd of geanonimiseerd.;Er is geen beleid om gegevens te verwijderen of te anonimiseren. Het gebeurt niet, of alleen als iemand het toevallig doet.;Er is een informeel beleid om gegevens te verwijderen of te anonimiseren, maar alleen voor simpele gevallen. Voor speciale situaties is er niets geregeld.;We hebben een beleid om gegevens te verwijderen of te anonimiseren. Hoe we dat doen, staat beschreven. Gegevens die niet meer nodig zijn, halen we op tijd weg of maken we anoniem, volgens het beleid. Voor speciale gevallen hebben we extra regels met bewaartermijnen en manieren van verwijderen. Dat doen we altijd.;We checken regelmatig of ons beleid werkt en passen het aan. We letten ook op verwijdering bij leveranciers. We controleren of applicaties echt verwijderen zoals afgesproken. Waar het kan, maken we verwijdering automatisch.;Ons beleid is volledig en transparant. Het helpt ons echt. We kunnen automatisch verwijderen koppelen aan doelen. Dat zit in al onze processen.
